cp	max_depth	min_split	min_bucket	ganancia_promedio
-1	4	1000	500	52112000
-0.5	4	1000	500	52112000
-0.3	4	1000	500	52112000
-0.1	4	1000	500	52112000
-1	4	1000	400	52468000
-0.5	4	1000	400	52468000
-0.3	4	1000	400	52468000
-0.1	4	1000	400	52468000
-1	4	1000	300	52720000
-0.5	4	1000	300	52720000
-0.3	4	1000	300	52720000
-0.1	4	1000	300	52720000
-1	4	1000	200	52872000
-0.5	4	1000	200	52872000
-0.3	4	1000	200	52872000
-0.1	4	1000	200	52872000
-1	4	1000	50	49082000
-0.5	4	1000	50	49082000
-0.3	4	1000	50	49082000
-0.1	4	1000	50	49082000
-1	4	1000	25	48732000
-0.5	4	1000	25	48732000
-0.3	4	1000	25	48732000
-0.1	4	1000	25	48732000
-1	4	1000	10	49108000
-0.5	4	1000	10	49108000
-0.3	4	1000	10	49108000
-0.1	4	1000	10	49108000
-1	4	1000	5	48452000
-0.5	4	1000	5	48452000
-0.3	4	1000	5	48452000
-0.1	4	1000	5	48452000
-1	4	800	500	52112000
-0.5	4	800	500	52112000
-0.3	4	800	500	52112000
-0.1	4	800	500	52112000
-1	4	800	400	52468000
-0.5	4	800	400	52468000
-0.3	4	800	400	52468000
-0.1	4	800	400	52468000
-1	4	800	300	52634000
-0.5	4	800	300	52634000
-0.3	4	800	300	52634000
-0.1	4	800	300	52634000
-1	4	800	200	52872000
-0.5	4	800	200	52872000
-0.3	4	800	200	52872000
-0.1	4	800	200	52872000
-1	4	800	50	49082000
-0.5	4	800	50	49082000
-0.3	4	800	50	49082000
-0.1	4	800	50	49082000
-1	4	800	25	48732000
-0.5	4	800	25	48732000
-0.3	4	800	25	48732000
-0.1	4	800	25	48732000
-1	4	800	10	49108000
-0.5	4	800	10	49108000
-0.3	4	800	10	49108000
-0.1	4	800	10	49108000
-1	4	800	5	48452000
-0.5	4	800	5	48452000
-0.3	4	800	5	48452000
-0.1	4	800	5	48452000
-1	4	600	500	52112000
-0.5	4	600	500	52112000
-0.3	4	600	500	52112000
-0.1	4	600	500	52112000
-1	4	600	400	52468000
-0.5	4	600	400	52468000
-0.3	4	600	400	52468000
-0.1	4	600	400	52468000
-1	4	600	300	52634000
-0.5	4	600	300	52634000
-0.3	4	600	300	52634000
-0.1	4	600	300	52634000
-1	4	600	200	52872000
-0.5	4	600	200	52872000
-0.3	4	600	200	52872000
-0.1	4	600	200	52872000
-1	4	600	50	48984000
-0.5	4	600	50	48984000
-0.3	4	600	50	48984000
-0.1	4	600	50	48984000
-1	4	600	25	48658000
-0.5	4	600	25	48658000
-0.3	4	600	25	48658000
-0.1	4	600	25	48658000
-1	4	600	10	49062000
-0.5	4	600	10	49062000
-0.3	4	600	10	49062000
-0.1	4	600	10	49062000
-1	4	600	5	48414000
-0.5	4	600	5	48414000
-0.3	4	600	5	48414000
-0.1	4	600	5	48414000
-1	4	400	500	52112000
-0.5	4	400	500	52112000
-0.3	4	400	500	52112000
